sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
310,closed,3,1108.0,100,1.77524,0.09296,5.66682,11.08
310,virtual,1,200.0,50,1.60083,0.035,5.24833,4.0
310,virtual,2,379.0,50,1.72232,0.07652,5.47098,7.58
310,virtual,3,545.0,50,1.71524,0.07156,5.65229,10.9
312,closed,1,400.0,100,1.70475,0.075,5.27833,4.0
312,closed,2,729.0,100,1.74896,0.08505,5.58116,7.29
312,closed,3,1096.0,100,1.73281,0.0812,5.6799,10.96
312,virtual,1,200.0,50,1.75989,0.08,5.245,4.0
312,virtual,2,346.0,50,1.67857,0.06358,5.53998,6.92
312,virtual,3,498.0,50,1.71695,0.07028,5.7075,9.96
314,closed,1,400.0,100,1.79651,0.1025,5.2825,4.0
314,closed,2,731.0,100,1.73378,0.08208,5.5415,7.31
314,closed,3,1099.0,100,1.7404,0.0828,5.68456,10.99
314,virtual,1,200.0,50,1.72548,0.08,5.41083,4.0
314,virtual,2,363.0,50,1.72014,0.07713,5.71304,7.26
314,virtual,3,548.0,50,1.72315,0.07847,5.77007,10.96
316,closed,1,400.0,100,1.69719,0.0675,5.31542,4.0
316,closed,2,742.0,100,1.70794,0.07278,5.53077,7.42
316,closed,3,1115.0,100,1.76071,0.09058,5.6716,11.15
316,virtual,1,200.0,50,1.70709,0.075,5.22917,4.0
316,virtual,2,366.0,50,1.74724,0.07923,5.54053,7.32
316,virtual,3,521.0,50,1.71564,0.07678,5.69578,10.42
318,closed,1,400.0,100,1.70578,0.0675,5.28292,4.0
318,closed,2,740.0,100,1.69596,0.06892,5.51802,7.4
318,closed,3,1087.0,100,1.7287,0.07912,5.705,10.87
318,virtual,1,200.0,50,1.78448,0.1,5.24167,4.0
318,virtual,2,352.0,50,1.74312,0.07955,5.64205,7.04
318,virtual,3,519.0,50,1.75861,0.09056,5.78773,10.38
320,closed,1,400.0,100,1.72121,0.0775,5.26208,4.0
320,closed,2,731.0,100,1.69906,0.0725,5.53192,7.31
320,closed,3,1078.0,100,1.73087,0.07885,5.67795,10.78
320,virtual,1,200.0,50,1.70215,0.07,5.32333,4.0
320,virtual,2,352.0,50,1.69553,0.0625,5.66477,7.04
320,virtual,3,546.0,50,1.75495,0.08608,5.74115,10.92
322,closed,1,400.0,100,1.7249,0.075,5.25833,4.0
322,closed,2,730.0,100,1.6973,0.06712,5.52626,7.3
322,closed,3,1085.0,100,1.74738,0.08664,5.65223,10.85
322,virtual,1,200.0,50,1.72222,0.075,5.385,4.0
322,virtual,2,390.0,50,1.72627,0.07436,5.58974,7.8
322,virtual,3,598.0,50,1.67667,0.0602,5.6544,11.96
324,closed,1,400.0,100,1.79754,0.0975,5.29375,4.0
324,closed,2,736.0,100,1.73285,0.08016,5.52582,7.36
324,closed,3,1112.0,100,1.70714,0.06924,5.63909,11.12
324,virtual,1,200.0,50,1.82281,0.115,5.19167,4.0
324,virtual,2,363.0,50,1.71425,0.07163,5.57071,7.26
324,virtual,3,510.0,50,1.76229,0.0902,5.78791,10.2
326,closed,1,400.0,100,1.75778,0.0875,5.29,4.0
326,closed,2,735.0,100,1.74016,0.08163,5.52358,7.35
326,closed,3,1095.0,100,1.74451,0.08584,5.65434,10.95
326,virtual,1,200.0,50,1.72378,0.08,5.23333,4.0
326,virtual,2,370.0,50,1.69011,0.06216,5.5,7.4
326,virtual,3,515.0,50,1.70239,0.0699,5.72362,10.3
328,closed,1,400.0,100,1.67017,0.0575,5.29792,4.0
328,closed,2,752.0,100,1.74059,0.08245,5.48958,7.52
328,closed,3,1097.0,100,1.73479,0.07931,5.6457,10.97
328,virtual,1,200.0,50,1.69053,0.065,5.35167,4.0
328,virtual,2,351.0,50,1.70263,0.07123,5.61586,7.02
328,virtual,3,521.0,50,1.7101,0.07678,5.73033,10.42
330,closed,1,400.0,100,1.70012,0.0675,5.28042,4.0
330,closed,2,746.0,100,1.74505,0.08311,5.50916,7.46
330,closed,3,1093.0,100,1.70293,0.06679,5.65432,10.93
330,virtual,1,200.0,50,1.72498,0.08,5.2775,4.0
330,virtual,2,339.0,50,1.81422,0.10619,5.64995,6.78
330,virtual,3,519.0,50,1.70879,0.07129,5.82755,10.38
332,closed,1,400.0,100,1.75166,0.085,5.28083,4.0
332,closed,2,752.0,100,1.66284,0.05851,5.51485,7.52
332,closed,3,1100.0,100,1.79669,0.10364,5.6597,11.0
332,virtual,1,200.0,50,1.7958,0.095,5.3525,4.0
332,virtual,2,363.0,50,1.73007,0.07438,5.68044,7.26
332,virtual,3,561.0,50,1.65058,0.05348,5.76797,11.22
334,closed,1,400.0,100,1.71743,0.0775,5.28125,4.0
334,closed,2,743.0,100,1.73572,0.08345,5.51503,7.43
334,closed,3,1109.0,100,1.70968,0.07394,5.64953,11.09
334,virtual,1,200.0,50,1.74496,0.075,5.24333,4.0
334,virtual,2,357.0,50,1.7532,0.08403,5.53361,7.14
334,virtual,3,525.0,50,1.75476,0.08762,5.74222,10.5
336,closed,1,400.0,100,1.664,0.0575,5.27792,4.0
336,closed,2,744.0,100,1.69047,0.06586,5.51254,7.44
336,closed,3,1117.0,100,1.74487,0.08236,5.6231,11.17
336,virtual,1,200.0,50,1.76839,0.095,5.41917,4.0
336,virtual,2,365.0,50,1.78667,0.09863,5.65342,7.3
336,virtual,3,538.0,50,1.74599,0.08736,5.81537,10.76
338,closed,1,400.0,100,1.72758,0.0775,5.26958,4.0
338,closed,2,741.0,100,1.69774,0.07018,5.52699,7.41
