sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
322,virtual,3,562.0,50,1.73576,0.08363,5.67408,11.24
324,fail,1,400.0,100,1.65653,0.055,5.4075,4.0
324,fail,2,729.0,100,1.72225,0.07407,5.66027,7.29
324,fail,3,1138.0,100,1.71518,0.07118,5.71104,11.38
324,virtual,1,200.0,50,1.67304,0.06,5.45,4.0
324,virtual,2,356.0,50,1.72154,0.07584,5.69429,7.12
324,virtual,3,571.0,50,1.72858,0.07706,5.80765,11.42
326,fail,1,400.0,100,1.69843,0.075,5.41042,4.0
326,fail,2,723.0,100,1.68946,0.06639,5.65745,7.23
326,fail,3,1140.0,100,1.71769,0.07456,5.69956,11.4
326,virtual,1,200.0,50,1.72677,0.08,5.25083,4.0
326,virtual,2,366.0,50,1.78132,0.09563,5.56785,7.32
326,virtual,3,550.0,50,1.73425,0.08,5.74242,11.0
328,fail,1,400.0,100,1.64756,0.06,5.42333,4.0
328,fail,2,728.0,100,1.72066,0.0783,5.64858,7.28
328,fail,3,1149.0,100,1.70808,0.07311,5.69104,11.49
328,virtual,1,200.0,50,1.83157,0.115,5.1975,4.0
328,virtual,2,368.0,50,1.73363,0.08152,5.50181,7.36
328,virtual,3,513.0,50,1.74548,0.08772,5.69851,10.26
330,fail,1,400.0,100,1.68094,0.065,5.43042,4.0
330,fail,2,717.0,100,1.70726,0.07113,5.66853,7.17
330,fail,3,1156.0,100,1.71415,0.07353,5.6782,11.56
330,virtual,1,200.0,50,1.74755,0.085,5.4375,4.0
330,virtual,2,390.0,50,1.65844,0.05641,5.52564,7.8
330,virtual,3,588.0,50,1.73928,0.08333,5.61451,11.76
332,fail,1,400.0,100,1.69536,0.07,5.41792,4.0
332,fail,2,714.0,100,1.71239,0.07283,5.6655,7.14
332,fail,3,1139.0,100,1.7585,0.08604,5.69242,11.39
332,virtual,1,200.0,50,1.68559,0.06,5.31333,4.0
332,virtual,2,350.0,50,1.70194,0.07143,5.61476,7.0
332,virtual,3,564.0,50,1.70378,0.06915,5.63564,11.28
334,fail,1,400.0,100,1.63574,0.055,5.4125,4.0
334,fail,2,719.0,100,1.73239,0.07789,5.66087,7.19
334,fail,3,1147.0,100,1.73629,0.0837,5.70067,11.47
334,virtual,1,200.0,50,1.67812,0.06,5.40333,4.0
334,virtual,2,364.0,50,1.78589,0.0989,5.67308,7.28
334,virtual,3,582.0,50,1.64973,0.05155,5.69759,11.64
336,fail,1,400.0,100,1.71242,0.0825,5.4075,4.0
336,fail,2,718.0,100,1.73566,0.07939,5.65204,7.18
336,fail,3,1140.0,100,1.72253,0.07895,5.70058,11.4
336,virtual,1,200.0,50,1.71911,0.08,5.38917,4.0
336,virtual,2,374.0,50,1.72683,0.08289,5.65642,7.48
336,virtual,3,585.0,50,1.70173,0.06838,5.6906,11.7
338,fail,1,400.0,100,1.67489,0.0675,5.39792,4.0
338,fail,2,713.0,100,1.74931,0.08555,5.6676,7.13
338,fail,3,1132.0,100,1.70799,0.07155,5.70539,11.32
338,virtual,1,200.0,50,1.82215,0.11,5.26,4.0
338,virtual,2,376.0,50,1.71932,0.07713,5.4836,7.52
338,virtual,3,560.0,50,1.71124,0.07321,5.62708,11.2
340,fail,1,400.0,100,1.76552,0.1,5.41917,4.0
340,fail,2,713.0,100,1.74156,0.08275,5.67438,7.13
340,fail,3,1151.0,100,1.76909,0.09383,5.69215,11.51
340,virtual,1,200.0,50,1.83373,0.12,5.36833,4.0
340,virtual,2,365.0,50,1.80636,0.10411,5.63242,7.3
340,virtual,3,573.0,50,1.71965,0.07504,5.62216,11.46
342,fail,1,400.0,100,1.6819,0.065,5.43083,4.0
342,fail,2,713.0,100,1.70792,0.07293,5.68513,7.13
342,fail,3,1166.0,100,1.72085,0.07804,5.68582,11.66
342,virtual,1,200.0,50,1.72468,0.08,5.34667,4.0
342,virtual,2,359.0,50,1.77519,0.09471,5.61235,7.18
