sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
326,fail,1,400.0,100,1.69208,0.0725,5.27125,4.0
326,fail,2,708.0,100,1.72082,0.07486,5.60782,7.08
326,fail,3,1159.0,100,1.74053,0.08456,5.61102,11.59
326,virtual,1,200.0,50,1.77247,0.095,5.39417,4.0
326,virtual,2,394.0,50,1.71623,0.07107,5.51777,7.88
326,virtual,3,550.0,50,1.80034,0.10182,5.79121,11.0
328,fail,1,400.0,100,1.66307,0.0625,5.2775,4.0
328,fail,2,722.0,100,1.75314,0.08449,5.59211,7.22
328,fail,3,1157.0,100,1.72505,0.07692,5.61524,11.57
328,virtual,1,200.0,50,1.75183,0.085,5.11417,4.0
328,virtual,2,354.0,50,1.69842,0.0678,5.50235,7.08
328,virtual,3,483.0,50,1.78165,0.10145,5.74603,9.66
330,fail,1,400.0,100,1.6941,0.075,5.27625,4.0
330,fail,2,709.0,100,1.72434,0.07757,5.59661,7.09
330,fail,3,1162.0,100,1.75269,0.0852,5.61589,11.62
330,virtual,1,200.0,50,1.79241,0.105,5.405,4.0
330,virtual,2,377.0,50,1.65281,0.05305,5.65208,7.54
330,virtual,3,558.0,50,1.64565,0.05197,5.62127,11.16
332,fail,1,400.0,100,1.71522,0.08,5.28667,4.0
332,fail,2,725.0,100,1.73927,0.08,5.58437,7.25
332,fail,3,1158.0,100,1.75931,0.09067,5.60881,11.58
332,virtual,1,200.0,50,1.70284,0.07,5.355,4.0
332,virtual,2,382.0,50,1.71013,0.07068,5.65838,7.64
332,virtual,3,560.0,50,1.82906,0.1125,5.85982,11.2
334,fail,1,400.0,100,1.64616,0.06,5.27042,4.0
334,fail,2,729.0,100,1.67493,0.05898,5.59076,7.29
334,fail,3,1157.0,100,1.75421,0.08989,5.61121,11.57
334,virtual,1,200.0,50,1.76424,0.09,5.5225,4.0
334,virtual,2,402.0,50,1.64986,0.05224,5.56799,8.04
334,virtual,3,571.0,50,1.7733,0.09282,5.82604,11.42
336,fail,1,400.0,100,1.72493,0.0875,5.27917,4.0
336,fail,2,718.0,100,1.75264,0.08635,5.59981,7.18
336,fail,3,1150.0,100,1.70918,0.07043,5.64406,11.5
336,virtual,1,200.0,50,1.75508,0.085,5.145,4.0
336,virtual,2,343.0,50,1.75585,0.08746,5.569,6.86
336,virtual,3,498.0,50,1.75446,0.09036,5.77008,9.96
338,fail,1,400.0,100,1.64192,0.055,5.27167,4.0
338,fail,2,717.0,100,1.74379,0.08647,5.59066,7.17
338,fail,3,1145.0,100,1.70448,0.06987,5.64702,11.45
338,virtual,1,200.0,50,1.74585,0.085,5.22417,4.0
338,virtual,2,323.0,50,1.7936,0.10526,5.58462,6.46
338,virtual,3,483.0,50,1.76897,0.09317,5.74638,9.66
340,fail,1,400.0,100,1.70966,0.075,5.2825,4.0
340,fail,2,716.0,100,1.78203,0.09218,5.59963,7.16
340,fail,3,1173.0,100,1.76012,0.08951,5.62631,11.73
340,virtual,1,200.0,50,1.62552,0.05,5.46167,4.0
340,virtual,2,386.0,50,1.76968,0.09326,5.58506,7.72
340,virtual,3,595.0,50,1.71693,0.07395,5.59132,11.9
342,fail,1,400.0,100,1.68189,0.07,5.26667,4.0
342,fail,2,722.0,100,1.72134,0.07341,5.60249,7.22
342,fail,3,1161.0,100,1.74258,0.08441,5.62059,11.61
342,virtual,1,200.0,50,1.67872,0.055,5.28083,4.0
342,virtual,2,371.0,50,1.7314,0.07547,5.4726,7.42
