sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
314,closed,3,1111.0,100,1.70601,0.07111,5.75128,11.11
314,virtual,1,200.0,50,1.82553,0.11,5.24083,4.0
314,virtual,2,377.0,50,1.77628,0.09549,5.57515,7.54
314,virtual,3,570.0,50,1.72118,0.07719,5.7038,11.4
316,closed,1,400.0,100,1.73304,0.0775,5.38667,4.0
316,closed,2,732.0,100,1.72604,0.0765,5.58766,7.32
316,closed,3,1102.0,100,1.71679,0.07623,5.75333,11.02
316,virtual,1,200.0,50,1.77416,0.095,5.29167,4.0
316,virtual,2,364.0,50,1.61954,0.04121,5.66804,7.28
316,virtual,3,554.0,50,1.72016,0.07401,5.72834,11.08
318,closed,1,400.0,100,1.70055,0.07,5.3675,4.0
318,closed,2,728.0,100,1.75195,0.08654,5.61332,7.28
318,closed,3,1101.0,100,1.77655,0.09537,5.76294,11.01
318,virtual,1,200.0,50,1.7505,0.09,5.39583,4.0
318,virtual,2,374.0,50,1.70199,0.07219,5.59982,7.48
318,virtual,3,577.0,50,1.75517,0.08666,5.64905,11.54
320,closed,1,400.0,100,1.75959,0.0925,5.36042,4.0
320,closed,2,730.0,100,1.70615,0.06986,5.59498,7.3
320,closed,3,1103.0,100,1.71895,0.07706,5.75748,11.03
320,virtual,1,200.0,50,1.70238,0.065,5.36583,4.0
320,virtual,2,359.0,50,1.77608,0.09471,5.61699,7.18
320,virtual,3,580.0,50,1.71257,0.07241,5.59052,11.6
322,closed,1,400.0,100,1.72524,0.0775,5.36083,4.0
322,closed,2,739.0,100,1.82675,0.11096,5.57059,7.39
322,closed,3,1099.0,100,1.72569,0.0737,5.75766,10.99
322,virtual,1,200.0,50,1.87727,0.13,5.27417,4.0
322,virtual,2,364.0,50,1.74754,0.08242,5.51557,7.28
322,virtual,3,518.0,50,1.68824,0.06757,5.60972,10.36
324,closed,1,400.0,100,1.68635,0.065,5.35958,4.0
324,closed,2,725.0,100,1.72087,0.07586,5.61034,7.25
324,closed,3,1093.0,100,1.70962,0.07411,5.76304,10.93
324,virtual,1,200.0,50,1.72143,0.075,5.26333,4.0
324,virtual,2,381.0,50,1.76378,0.08924,5.51531,7.62
324,virtual,3,576.0,50,1.68332,0.06424,5.60301,11.52
326,closed,1,400.0,100,1.79523,0.1,5.3675,4.0
326,closed,2,729.0,100,1.73528,0.08368,5.59191,7.29
326,closed,3,1103.0,100,1.76,0.08794,5.74343,11.03
326,virtual,1,200.0,50,1.7885,0.095,5.13667,4.0
326,virtual,2,370.0,50,1.70702,0.07568,5.43198,7.4
326,virtual,3,520.0,50,1.77777,0.09038,5.68974,10.4
328,closed,1,400.0,100,1.77589,0.095,5.36917,4.0
328,closed,2,735.0,100,1.76278,0.09116,5.60204,7.35
328,closed,3,1106.0,100,1.72006,0.07866,5.72875,11.06
328,virtual,1,200.0,50,1.66232,0.055,5.33667,4.0
328,virtual,2,354.0,50,1.71619,0.07627,5.59228,7.08
328,virtual,3,550.0,50,1.68365,0.06182,5.64061,11.0
330,closed,1,400.0,100,1.72325,0.0775,5.36167,4.0
330,closed,2,735.0,100,1.69688,0.07075,5.60408,7.35
330,closed,3,1096.0,100,1.72313,0.07847,5.77752,10.96
330,virtual,1,200.0,50,1.71605,0.075,5.27583,4.0
330,virtual,2,351.0,50,1.66644,0.05698,5.57502,7.02
330,virtual,3,567.0,50,1.71651,0.07231,5.68783,11.34
332,closed,1,400.0,100,1.69012,0.0675,5.35292,4.0
332,closed,2,733.0,100,1.7203,0.0764,5.62528,7.33
332,closed,3,1096.0,100,1.73755,0.08485,5.75623,10.96
332,virtual,1,200.0,50,1.64809,0.055,5.30917,4.0
332,virtual,2,373.0,50,1.7245,0.07775,5.58311,7.46
332,virtual,3,547.0,50,1.76774,0.08958,5.72791,10.94
334,closed,1,400.0,100,1.7614,0.0875,5.35083,4.0
334,closed,2,734.0,100,1.72865,0.07902,5.59628,7.34
334,closed,3,1088.0,100,1.70407,0.07077,5.76532,10.88
334,virtual,1,200.0,50,1.71237,0.075,5.3825,4.0
334,virtual,2,361.0,50,1.6831,0.06371,5.63666,7.22
334,virtual,3,574.0,50,1.76659,0.08885,5.75755,11.48
336,closed,1,400.0,100,1.73323,0.0825,5.36833,4.0
336,closed,2,728.0,100,1.68598,0.06456,5.61424,7.28
336,closed,3,1091.0,100,1.73392,0.07974,5.74641,10.91
336,virtual,1,200.0,50,1.6537,0.05,5.3075,4.0
